     940.00    945.00    2.6102    1.6334
     945.00    950.00    2.6160    1.6353
     950.00    955.00    2.6255    1.6384
     955.00    960.00    2.6384    1.6425
     960.00    965.00    2.6510    1.6465
     965.00    970.00    2.6615    1.6500
     970.00    975.00    2.6717    1.6532
     975.00    980.00    2.6814    1.6563
     980.00    985.00    2.6899    1.6591
     985.00    990.00    2.6978    1.6616
     990.00    995.00    2.7056    1.6642
     995.00   1000.00    2.7142    1.6669
    1000.00   1005.00    2.7232    1.6698
    1005.00   1010.00    2.7325    1.6727
    1010.00   1015.00    2.7420    1.6758
    1015.00   1020.00    2.7519    1.6789
    1020.00   1025.00    2.7620    1.6821
    1025.00   1030.00    2.7724    1.6854
    1030.00   1035.00    2.7830    1.6887
    1035.00   1040.00    2.7939    1.6921
    1040.00   1045.00    2.8051    1.6956
    1045.00   1050.00    2.8165    1.6992
    1050.00   1055.00    2.8281    1.7028
    1055.00   1060.00    2.8400    1.7065
    1060.00   1065.00    2.8522    1.7103
    1065.00   1070.00    2.8645    1.7141
    1070.00   1075.00    2.8772    1.7180
    1075.00   1080.00    2.8900    1.7219
    1080.00   1085.00    2.9030    1.7259
    1085.00   1090.00    2.9163    1.7300
    1090.00   1095.00    2.9297    1.7341
    1095.00   1100.00    2.9435    1.7382
    1100.00   1105.00    2.9574    1.7424
    1105.00   1110.00    2.9713    1.7467
    1110.00   1115.00    2.9856    1.7510
    1115.00   1120.00    3.0001    1.7553
    1120.00   1125.00    3.0146    1.7597
    1125.00   1130.00    3.0294    1.7641
    1130.00   1135.00    3.0445    1.7687
    1135.00   1140.00    3.0597    1.7732
    1140.00   1145.00    3.0749    1.7777
    1145.00   1150.00    3.0906    1.7823
    1150.00   1155.00    3.1062    1.7869
    1155.00   1160.00    3.1220    1.7916
    1160.00   1165.00    3.1380    1.7963
    1165.00   1170.00    3.1540    1.8010
    1170.00   1175.00    3.1704    1.8058
    1175.00   1180.00    3.1868    1.8106
    1180.00   1185.00    3.2033    1.8154
    1185.00   1190.00    3.2201    1.8202
    1190.00   1195.00    3.2368    1.8251
    1195.00   1200.00    3.2538    1.8300
    1200.00   1205.00    3.2709    1.8349
    1205.00   1210.00    3.2882    1.8399
    1210.00   1215.00    3.3055    1.8448
    1215.00   1220.00    3.3229    1.8498
    1220.00   1225.00    3.3406    1.8548
    1225.00   1230.00    3.3584    1.8599
    1230.00   1235.00    3.3765    1.8650
    1235.00   1240.00    3.3947    1.8701
    1240.00   1245.00    3.4129    1.8753
    1245.00   1250.00    3.4316    1.8805
    1250.00   1255.00    3.4503    1.8858
    1255.00   1260.00    3.4691    1.8910
    1260.00   1265.00    3.4882    1.8963
    1265.00   1270.00    3.5073    1.9017
    1270.00   1275.00    3.5269    1.9071
    1275.00   1280.00    3.5468    1.9126
    1280.00   1285.00    3.5666    1.9180
    1285.00   1290.00    3.5868    1.9236
    1290.00   1295.00    3.6069    1.9292
    1295.00   1300.00    3.6276    1.9348
    1300.00   1305.00    3.6483    1.9404
    1305.00   1310.00    3.6697    1.9462
    1310.00   1315.00    3.6909    1.9520
    1315.00   1320.00    3.7123    1.9577
    1320.00   1325.00    3.7341    1.9636
    1325.00   1330.00    3.7561    1.9695
    1330.00   1335.00    3.7782    1.9754
    1335.00   1340.00    3.8008    1.9814
    1340.00   1345.00    3.8235    1.9875
    1345.00   1350.00    3.8465    1.9936
    1350.00   1355.00    3.8697    1.9997
    1355.00   1360.00    3.8930    2.0058
    1360.00   1365.00    3.9168    2.0121
    1365.00   1370.00    3.9407    2.0183
    1370.00   1375.00    3.9649    2.0247
    1375.00   1380.00    3.9893    2.0310
    1380.00   1385.00    4.0140    2.0374
    1385.00   1390.00    4.0390    2.0439
    1390.00   1395.00    4.0640    2.0503
    1395.00   1400.00    4.0895    2.0569
    1400.00   1405.00    4.1152    2.0635
    1405.00   1410.00    4.1413    2.0701
    1410.00   1415.00    4.1675    2.0768
    1415.00   1420.00    4.1941    2.0835
    1420.00   1425.00    4.2207    2.0903
    1425.00   1430.00    4.2475    2.0970
    1430.00   1435.00    4.2752    2.1040
    1435.00   1440.00    4.3027    2.1109
    1440.00   1445.00    4.3306    2.1179
    1445.00   1450.00    4.3589    2.1249
    1450.00   1455.00    4.3871    2.1319
    1455.00   1460.00    4.4162    2.1391
    1460.00   1465.00    4.4449    2.1461
    1465.00   1470.00    4.4745    2.1534
    1470.00   1475.00    4.5042    2.1607
    1475.00   1480.00    4.5343    2.1680
    1480.00   1485.00    4.5647    2.1754
    1485.00   1490.00    4.5954    2.1829
    1490.00   1495.00    4.6265    2.1904
    1495.00   1500.00    4.6578    2.1979
    1500.00   1505.00    4.6895    2.2055
    1505.00   1510.00    4.7215    2.2132
    1510.00   1515.00    4.7539    2.2209
    1515.00   1520.00    4.7865    2.2286
    1520.00   1525.00    4.8196    2.2364
    1525.00   1530.00    4.8531    2.2443
    1530.00   1535.00    4.8867    2.2522
    1535.00   1540.00    4.9207    2.2602
    1540.00   1545.00    4.9551    2.2682
    1545.00   1550.00    4.9899    2.2763
    1550.00   1555.00    5.0249    2.2844
    1555.00   1560.00    5.0603    2.2926
    1560.00   1565.00    5.0961    2.3008
    1565.00   1570.00    5.1322    2.3091
    1570.00   1575.00    5.1685    2.3174
    1575.00   1580.00    5.2053    2.3257
    1580.00   1585.00    5.2424    2.3342
    1585.00   1590.00    5.2798    2.3426
    1590.00   1595.00    5.3175    2.3511
    1595.00   1600.00    5.3556    2.3596
    1600.00   1605.00    5.3940    2.3682
    1605.00   1610.00    5.4328    2.3769
    1610.00   1615.00    5.4720    2.3856
    1615.00   1620.00    5.5114    2.3943
    1620.00   1625.00    5.5513    2.4030
    1625.00   1630.00    5.5915    2.4119
    1630.00   1635.00    5.6320    2.4208
    1635.00   1640.00    5.6732    2.4297
    1640.00   1645.00    5.7144    2.4387
    1645.00   1650.00    5.7563    2.4477
    1650.00   1655.00    5.7984    2.4568
    1655.00   1660.00    5.8411    2.4660
    1660.00   1665.00    5.8842    2.4752
    1665.00   1670.00    5.9274    2.4845
    1670.00   1675.00    5.9716    2.4938
    1675.00   1680.00    6.0160    2.5032
    1680.00   1685.00    6.0608    2.5126
    1685.00   1690.00    6.1062    2.5221
    1690.00   1695.00    6.1517    2.5317
    1695.00   1700.00    6.1981    2.5414
    1700.00   1705.00    6.2446    2.5511
    1705.00   1710.00    6.2918    2.5608
    1710.00   1715.00    6.3397    2.5707
    1715.00   1720.00    6.3874    2.5805
